timestamp;x;y;z
1432030079494943;-4.375;-1.125;-2.5625
1432030079510892;-1.625;-0.5;-2.375
1432030079532937;-0.8125;-1.1875;-2.5
1432030079554980;-2.9375;-0.875;-2.1875
1432030079570966;-3.6875;-0.75;-2.5
1432030079591953;-2.4375;-1.3125;-2.25
1432030079615027;-2.25;-0.9375;-1.5
1432030079631006;-0.9375;-1.4375;-0.625
1432030079651993;0.6875;-2;0.25
1432030079675036;1.4375;-2.25;0.625
1432030079691048;1.0625;-2.25;0.125
1432030079712092;-1.625;-2.125;-0.6875
1432030079735107;-3.3125;-1.375;-1.625
1432030079759071;-5;-1.5625;-1.375
1432030079781085;-4.875;-1.5625;-1.25
1432030079795151;-2.1875;-1.8125;-1.4375
1432030079811106;-0.875;-1.625;-0.9375
1432030079834149;-0.1875;-1.5;-0.4375
1432030079855192;0.625;-1.375;-0.0625
1432030079871146;0.375;-1.1875;0.125
1432030079894191;0;-1;0.3125
1432030079915234;0;-1.4375;0.125
1432030079930309;-1.5625;-1.25;0.3125
1432030079953367;-1.5;-1.125;0.4375
1432030079976356;-0.1875;-1.125;1.0625
1432030079990337;0.25;-1.1875;1
1432030080014354;1.375;-1.6875;1.5625
1432030080035368;1.9375;-1.625;1.875
1432030080066421;1.625;-1.3125;1
1432030080073450;0.375;-0.9375;0
1432030080095415;-1.375;-0.25;-0.8125
1432030080111423;-1.75;0.375;-0.875
1432030080139499;-0.75;0.625;-0.375
1432030080155458;1.1875;0.1875;-0.0625
1432030080170496;1.0625;0;-0.3125
1432030080193481;0.5;-0.5625;0.0625
1432030080214551;0;-0.75;0.25
1432030080230506;-0.1875;-0.6875;0.125
1432030080253633;0;-0.8125;0.5
1432030080274675;-0.25;-0.9375;0.6875
1432030080290635;0.375;-1.125;0.5
1432030080313650;-0.75;-1.4375;0.5625
1432030080336661;-1.6875;-0.8125;0.0625
1432030080350809;-1.25;-0.875;-0.3125
1432030080373825;-1.6875;-0.6875;-0.5
1432030080394869;0.5;-0.375;-0.25
1432030080418831;0.5625;-0.3125;-0.25
1432030080433870;-0.3125;-0.5;-0.6875
1432030080454911;-2.125;-0.6875;-0.3125
1432030080470893;-2.5625;-0.5625;0.0625
1432030080493910;-2.0625;-0.75;-0.0625
1432030080514951;-0.9375;-0.625;0.125
1432030080530935;-0.9375;-0.4375;-0.125
1432030080553954;-1.125;-0.4375;-0.5
1432030080574994;-0.5;-0.3125;-0.625
1432030080590978;-0.625;-0.375;-0.1875
1432030080613965;-0.5625;-0.5625;-0.4375
1432030080635037;-0.875;-0.6875;-0.4375
1432030080651021;-1.1875;-0.875;-0.3125
1432030080673007;-0.75;-0.625;0.125
1432030080696054;-0.3125;-0.75;0.0625
1432030080711063;-0.75;-0.9375;0.125
1432030080733049;-1.9375;-1;0.25
1432030080756096;-2.125;-1;0
1432030080771079;-1.6875;-0.8125;-0.625
1432030080793120;-0.8125;-0.4375;-0.5
1432030080816138;-0.6875;-0.1875;-0.75
1432030080831119;-0.1875;0.3125;-0.8125
1432030080853163;-0.25;0.125;-1.125
1432030080876258;-1.375;0;-1.125
1432030080899275;-2.1875;-0.1875;-1
1432030080913390;-1.375;0;-0.8125
1432030080936540;-1.1875;0.25;-0.8125
1432030080950530;-1.5625;0.125;-0.9375
1432030080973690;-1.375;-0.375;-0.6875
1432030080996811;-0.9375;-0.3125;-0.0625
1432030081010827;-0.5;-0.4375;0.125
1432030081032837;-1.25;0.125;0.1875
1432030081055906;-2.5625;0.0625;0.1875
1432030081070863;-3.0625;-0.4375;0.5
1432030081092883;-1.6875;-0.6875;0.5
1432030081115951;-0.125;-0.5;0.5625
1432030081130905;0.3125;-0.6875;0.4375
1432030081152926;-1.5;-0.625;0.125
1432030081175937;-1.5625;-0.9375;0.625
1432030081197010;-0.3125;-0.6875;1.0625
1432030081212993;0.75;-0.75;1.6875
1432030081235983;0.375;-1.3125;2.375
1432030081257051;-1.6875;-1.0625;2.375
1432030081273036;-0.5625;-0.25;1.9375
1432030081296128;3;0.75;3.25
1432030081317289;10.75;0.6875;5.75
1432030081333245;16.375;0.4375;7.8125
1432030081356259;18.6875;0.1875;9.5625
1432030081377439;16.3125;-0.1875;8.6875
1432030081393422;15;-0.625;8.125
1432030081416408;11.1875;-1.5;7.5625
1432030081437481;5.9375;-1.875;7.9375
1432030081453464;3.5;-2.3125;9.375
1432030081476480;3.125;-3.4375;11.125
