timestamp;x;y;z;w
1432029807536515;-0.224304;0.640869;0.298767;0.670532
1432029807551573;-0.220764;0.635681;0.305908;0.673401
1432029807575606;-0.218689;0.629578;0.314758;0.675781
1432029807596610;-0.216919;0.623413;0.324036;0.677673
1432029807612617;-0.215881;0.616882;0.334106;0.679077
1432029807658655;-0.215637;0.609558;0.345337;0.680176
1432029807663711;-0.216187;0.601379;0.357056;0.681213
1432029807671660;-0.21637;0.59259;0.368469;0.6828
1432029807694693;-0.214783;0.583923;0.379395;0.684753
1432029807717694;-0.21106;0.575867;0.390137;0.686646
1432029807731701;-0.206787;0.56842;0.401489;0.687622
1432029807754719;-0.203308;0.560791;0.413391;0.687866
1432029807777734;-0.200989;0.551819;0.426208;0.687988
1432029807791744;-0.199036;0.542419;0.438965;0.688049
1432029807814855;-0.196594;0.533386;0.451172;0.687866
1432029807843927;-0.193665;0.52533;0.462769;0.687256
1432029807851927;-0.190308;0.518372;0.473633;0.686035
1432029807874934;-0.186646;0.512451;0.483276;0.684753
1432029807895963;-0.183105;0.507446;0.491516;0.683594
1432029807911968;-0.180298;0.503296;0.498169;0.682617
1432029807934985;-0.178467;0.500671;0.502258;0.682007
1432029807956007;-0.177185;0.5;0.503113;0.68219
1432029807980017;-0.175842;0.501099;0.500854;0.683411
1432029807995027;-0.173401;0.50354;0.495911;0.685791
1432029808018044;-0.169312;0.507629;0.488342;0.68927
1432029808064064;-0.163696;0.515076;0.476807;0.693176
1432029808069122;-0.157654;0.525391;0.461731;0.697021
1432029808076132;-0.15271;0.535217;0.445862;0.700989
1432029808092100;-0.149963;0.542297;0.430725;0.705566
1432029808115115;-0.148071;0.549011;0.415161;0.710083
1432029808136134;-0.14502;0.557373;0.398254;0.713867
1432029808152127;-0.138794;0.567627;0.382019;0.715942
1432029808175154;-0.134766;0.576172;0.366089;0.71814
1432029808198156;-0.132751;0.582581;0.352966;0.71991
1432029808212182;-0.133118;0.587036;0.342041;0.721497
1432029808235196;-0.135071;0.590027;0.332825;0.723022
1432029808256280;-0.137451;0.592407;0.324646;0.724365
1432029808272266;-0.139832;0.594482;0.317322;0.725464
1432029808294282;-0.142456;0.596375;0.310486;0.726318
1432029808317351;-0.14502;0.598145;0.303284;0.727417
1432029808332409;-0.146973;0.600098;0.295166;0.72876
1432029808354427;-0.148132;0.602417;0.28595;0.730286
1432029808383607;-0.148499;0.605164;0.275574;0.731934
1432029808391556;-0.148376;0.60791;0.264648;0.733704
1432029808414573;-0.148315;0.610291;0.253784;0.735596
1432029808437603;-0.147827;0.612183;0.243164;0.737671
1432029808451667;-0.147339;0.613525;0.233398;0.739807
1432029808474682;-0.146851;0.615173;0.225037;0.74115
1432029808497724;-0.146484;0.617798;0.218018;0.741089
1432029808511734;-0.1474;0.620728;0.213196;0.739868
1432029808534751;-0.151367;0.623047;0.210571;0.737854
1432029808557739;-0.157654;0.623596;0.209534;0.736389
1432029808578809;-0.16272;0.623474;0.209167;0.735535
1432029808594796;-0.164307;0.624695;0.208069;0.734436
1432029808617792;-0.163086;0.626648;0.206055;0.733582
1432029808638820;-0.159668;0.627014;0.205078;0.734314
1432029808654832;-0.154175;0.625549;0.207031;0.736145
1432029808685870;-0.147644;0.623779;0.211487;0.737732
1432029808698838;-0.141724;0.622314;0.218384;0.738159
1432029808714853;-0.138367;0.6203;0.228577;0.737366
1432029808737866;-0.139282;0.617371;0.241516;0.735535
1432029808758935;-0.144104;0.613281;0.256042;0.733093
1432029808774921;-0.150696;0.608032;0.270935;0.730835
1432029808803967;-0.156189;0.601685;0.285339;0.729431
1432029808825984;-0.158142;0.59491;0.298706;0.729248
1432029808834065;-0.155884;0.588623;0.311096;0.729675
1432029808858052;-0.150146;0.583374;0.322754;0.72998
1432029808880095;-0.143005;0.578735;0.334351;0.729919
1432029808894074;-0.136169;0.573975;0.346191;0.729431
1432029808917212;-0.130188;0.56897;0.358154;0.728638
1432029808946408;-0.125;0.564026;0.369629;0.727722
1432029808962429;-0.120239;0.559326;0.380066;0.726746
1432029808977438;-0.115601;0.555298;0.389099;0.72583
1432029808998587;-0.111145;0.551941;0.396301;0.725159
1432029809014661;-0.106934;0.549133;0.401672;0.724976
1432029809037692;-0.102844;0.547241;0.404907;0.72522
1432029809058799;-0.0990601;0.547119;0.404907;0.72583
1432029809074758;-0.0957031;0.549133;0.401062;0.726929
1432029809097774;-0.0929565;0.552612;0.393494;0.728699
1432029809118805;-0.0914307;0.556702;0.383118;0.731323
1432029809134809;-0.0905762;0.562256;0.36969;0.73407
1432029809157817;-0.0897827;0.571106;0.351074;0.73645
1432029809178848;-0.0895386;0.58136;0.329224;0.738586
